donor_type,organ,transplants
Deceased Donor,Kidney,435931
Deceased Donor,Liver,227319
Living Donor,Kidney,196381
Deceased Donor,Heart,102209
Deceased Donor,Lung,59258
Deceased Donor,Kidney / Pancreas,29548
Living Donor,Liver,11147
Deceased Donor,Pancreas,9600
Deceased Donor,Intestine,3611
Deceased Donor,Heart / Lung,1641
Living Donor,Lung,253
Living Donor,Kidney / Pancreas,48
Living Donor,VCA - uterus,48
Living Donor,Intestine,44
Living Donor,Heart,43
Deceased Donor,VCA - upper limb,38
Deceased Donor,VCA - head and neck,25
Living Donor,Pancreas,24
Deceased Donor,VCA - abdominal wall,22
Deceased Donor,VCA - uterus,19
Deceased Donor,VCA - external male genitalia,2
Deceased Donor,VCA - other genitourinary organ,2
