organ,waitlist_stock,waitlist_additions_2025,waitlist_removals_2025,pct_wait_2plus_years,pct_wait_3plus_years,donors_all_types,organs_recovered,organs_discarded,organs_transplanted_donor_side,transplants_2025,multi_organ_tx_involvement_2025,multi_organ_tx_national_2025,discard_rate,transplants_per_waitlist_stock,removals_per_additions,net_waitlist_flow,has_donor_metrics,analysis_cohort
Kidney,95036.0,53153.0,50167.0,41.61475651332127,25.84704743465634,21797.0,36916.0,8227.0,28689.0,27574.0,1260.0,1436.0,0.222857297648716,0.290142682772844,0.943822549997178,2986.0,True,core_6_organs
Liver,8822.0,16175.0,15778.0,20.720924960326457,12.18544547721605,13824.0,13824.0,1569.0,12338.0,12344.0,1048.0,1436.0,0.1134982638888889,1.399229199727953,0.9754559505409582,397.0,True,core_6_organs
Heart,4054.0,6082.0,6029.0,26.961026147015293,16.033547113961518,4753.0,4753.0,118.0,4635.0,4587.0,463.0,1436.0,0.024826425415527036,1.1314750863344845,0.9912857612627425,53.0,True,core_6_organs
Kidney / Pancreas,2382.0,1688.0,1620.0,27.413937867338372,12.636439966414779,,,,,804.0,,1436.0,,0.33753148614609574,0.9597156398104265,68.0,False,waitlist_combo_or_other
Lung,1030.0,3941.0,3918.0,6.601941747572816,2.912621359223301,3977.0,7777.0,1123.0,6654.0,3490.0,56.0,1436.0,0.1444001543011444,3.3883495145631066,0.9941639177873636,23.0,True,core_6_organs
Pancreas,837.0,400.0,378.0,40.38231780167264,24.970131421744323,1260.0,1260.0,304.0,956.0,107.0,49.0,1436.0,0.24126984126984127,0.12783751493428913,0.945,22.0,True,core_6_organs
Intestine,169.0,114.0,113.0,42.60355029585799,28.994082840236686,88.0,88.0,1.0,87.0,88.0,52.0,1436.0,0.011363636363636364,0.5207100591715976,0.9912280701754386,1.0,True,core_6_organs
Heart / Lung,30.0,76.0,76.0,43.333333333333336,23.333333333333332,,,,,61.0,,1436.0,,2.033333333333333,1.0,0.0,False,waitlist_combo_or_other
VCA - uterus,4.0,11.0,11.0,25.0,0.0,,,,,9.0,,1436.0,,2.25,1.0,0.0,False,vca
VCA - head and neck,2.0,1.0,1.0,50.0,0.0,,,,,0.0,,1436.0,,0.0,1.0,0.0,False,vca
VCA - upper limb,2.0,0.0,0.0,100.0,0.0,,,,,0.0,,1436.0,,0.0,,0.0,False,vca
VCA - abdominal wall,1.0,0.0,0.0,100.0,0.0,,,,,0.0,,1436.0,,0.0,,0.0,False,vca
VCA - external male genitalia,,0.0,0.0,,,,,,,0.0,,1436.0,,,,0.0,False,vca
VCA - other genitourinary organ,,1.0,1.0,,,,,,,1.0,,1436.0,,,1.0,0.0,False,vca
