,,All Donors,Kidney,Liver,Heart,Pancreas,Lung,Intestine
All Donation Service Areas,,"23,791","21,797","13,824","4,753","1,260","3,977",88
ALOB-OP1 Legacy of Hope,,306,269,203,70,17,57,1
AROR-OP1 Southern Legacy of Life,,194,190,116,53,9,34,3
AZOB-OP1 Donor Network of Arizona,,567,553,364,125,47,88,1
CADN-OP1 Donor Network West,,720,653,396,125,20,98,0
CAGS-OP1 Sierra Donor Services,,249,236,120,39,11,37,0
CAOP-OP1 OneLegacy,,"1,031",966,594,163,42,179,2
CASD-IO1 Lifesharing - A Donate Life Organization,,250,241,123,68,12,51,1
CORS-OP1 Donor Alliance,,476,445,241,146,26,105,3
FLFH-IO1 OurLegacy,,229,215,164,59,18,66,0
FLMP-OP1 South Florida Donor Network,,321,309,174,84,24,83,5
FLUF-IO1 LifeQuest Organ Recovery Services,,413,371,270,79,23,77,2
FLWC-OP1 LifeLink of Florida,,526,481,311,99,21,75,1
GALL-OP1 LifeLink of Georgia,,704,681,366,148,34,146,4
HIOP-OP1 Legacy of Life Hawaii,,78,77,36,9,0,6,0
IAOP-OP1 Iowa Donor Network,,177,174,95,35,11,30,3
ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,,841,763,436,163,49,156,8
INOP-OP1 Indiana Donor Network,,534,484,393,130,44,115,4
KYDA-OP1 Network for Hope,,467,419,264,88,34,51,0
LAOP-OP1 Louisiana Organ Procurement Agency,,439,401,316,106,28,88,0
MAOB-OP1 New England Organ Bank,,979,916,575,162,38,119,2
MDPC-OP1 Infinite Legacy,,539,456,284,79,24,65,0
MIOP-OP1 Gift of Life Michigan,,659,599,396,97,45,107,2
MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,,620,587,288,103,13,81,3
MOMA-OP1 Mid-America Transplant Services,,379,343,235,84,24,68,4
MSOP-OP1 Mississippi Organ Recovery Agency,,143,121,99,39,9,37,0
MWOB-OP1 Midwest Transplant Network,,434,417,269,115,20,104,0
NCCM-IO1 LifeShare Carolinas,,301,267,182,60,12,34,1
NCNC-OP1 HonorBridge,,498,456,289,98,31,63,4
NEOR-OP1 Live On Nebraska,,198,184,107,44,9,22,2
NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,,429,413,217,61,33,47,1
NMOP-OP1 New Mexico Donor Services,,151,144,87,29,7,11,0
NVLV-OP1 Nevada Donor Network,,269,237,218,86,17,102,0
NYAP-OP1 Center for Donation and Transplant,,149,140,106,42,11,20,0
NYFL-IO1 Finger Lakes Donor Recovery Network,,140,124,63,20,9,12,0
NYRT-OP1 LiveOnNY,,"1,128",957,547,94,31,75,2
NYWN-OP1 Upstate New York Transplant Services Inc,,102,100,52,26,10,12,0
OHLB-OP1 Lifebanc,,346,301,210,58,13,58,2
OHLC-OP1 Life Connection of Ohio,,164,148,128,50,19,44,2
OHLP-OP1 Lifeline of Ohio,,234,217,120,46,7,21,2
OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,,300,282,212,84,16,63,0
ORUO-IO1 Cascade Life Alliance,,280,272,177,83,16,64,1
PADV-OP1 Gift of Life Donor Program,,974,879,642,194,78,173,4
PATF-OP1 Center for Organ Recovery and Education,,707,582,494,135,37,90,4
PRLL-OP1 LifeLink of Puerto Rico,,110,84,96,22,16,25,1
SCOP-OP1 We Are Sharing Hope SC,,408,390,254,53,17,50,0
TNDS-OP1 Tennessee Donor Services,,589,547,375,145,34,113,4
TNMS-OP1 Mid-South Transplant Foundation,,113,103,71,33,11,26,1
TXGC-OP1 LifeGift Organ Donation Center,,717,677,357,154,28,140,1
TXSA-OP1 Texas Organ Sharing Alliance,,597,505,270,88,14,83,0
TXSB-OP1 Southwest Transplant Alliance,,834,760,397,180,41,232,2
UTOP-OP1 DonorConnect,,361,338,194,74,16,36,0
VATB-OP1 LifeNet Health,,405,360,226,80,27,72,2
WALC-OP1 LifeCenter Northwest,,536,513,360,149,19,80,0
"WIDN-OP1 Versiti Blood Health, Inc.",,191,184,87,40,17,24,2
WIUW-IO1 UW Health Organ and Tissue Donation,,285,266,158,57,21,62,1
