,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - abdominal wall,VCA - external male genitalia,VCA - head and neck,VCA - other genitourinary organ,VCA - upper limb,VCA - uterus
To Date,,"1,081,410","634,632","239,556","9,633","29,666","102,653","59,806","1,645","3,662",22,2,25,3,38,67
2026,,"16,478","9,218","4,355",30,242,"1,458","1,149",7,14,0,0,0,2,0,3
2025,,"49,065","27,574","12,344",107,804,"4,587","3,490",61,88,0,0,0,1,0,9
2024,,"48,150","27,760","11,458",114,733,"4,572","3,340",64,97,0,0,2,0,1,9
2023,,"46,634","27,332","10,659",102,812,"4,545","3,026",54,95,0,0,1,0,0,8
2022,,"42,889","25,500","9,528",108,810,"4,111","2,692",51,82,2,0,0,0,0,5
2021,,"41,356","24,670","9,236",143,820,"3,818","2,524",45,96,0,0,1,0,1,2
2020,,"39,036","22,817","8,906",135,827,"3,658","2,539",58,91,0,0,2,0,1,2
2019,,"39,719","23,401","8,896",143,872,"3,552","2,714",45,81,0,0,1,0,2,12
2018,,"36,530","21,167","8,250",192,835,"3,408","2,530",32,104,1,1,2,0,1,7
2017,,"34,770","19,849","8,082",213,789,"3,244","2,449",29,109,0,0,1,0,1,4
2016,,"33,610","19,060","7,841",215,798,"3,191","2,327",18,147,0,1,1,0,5,6
2015,,"30,974","17,878","7,127",228,719,"2,804","2,057",15,141,1,0,2,0,2,0
2014,,"29,540","17,108","6,730",245,709,"2,655","1,925",24,139,0,0,3,0,2,0
2013,,"28,956","16,896","6,455",256,762,"2,531","1,923",23,109,0,0,1,0,0,0
2012,,"28,059","16,487","6,256",242,801,"2,378","1,754",29,106,1,0,1,0,4,0
2011,,"28,553","16,816","6,342",287,795,"2,322","1,822",27,129,4,0,3,0,6,0
2010,,"28,668","16,900","6,291",349,828,"2,332","1,769",42,151,0,0,1,0,5,0
2009,,"28,463","16,829","6,320",375,854,"2,212","1,661",29,179,1,0,1,0,2,0
2008,,"27,967","16,521","6,319",434,837,"2,163","1,478",27,185,0,0,1,0,2,0
2007,,"28,366","16,634","6,494",468,864,"2,209","1,468",31,198,0,0,0,0,0,0
2006,,"28,941","17,095","6,651",466,924,"2,193","1,405",31,175,0,0,0,0,1,0
2005,,"28,119","16,485","6,444",542,903,"2,125","1,406",35,178,1,0,0,0,0,0
2004,,"27,042","16,007","6,171",603,881,"2,015","1,172",40,152,1,0,0,0,0,0
2003,,"25,475","15,138","5,673",504,871,"2,057","1,085",29,116,2,0,0,0,0,0
2002,,"24,916","14,781","5,332",555,906,"2,155","1,042",33,107,5,0,0,0,0,0
2001,,"24,243","14,279","5,195",473,891,"2,202","1,059",27,113,3,0,0,0,1,0
2000,,"23,274","13,631","5,001",439,915,"2,199",959,48,82,0,0,0,0,0,0
1999,,"22,030","12,767","4,757",359,941,"2,188",893,51,73,0,0,0,0,1,0
1998,,"21,526","12,455","4,519",245,972,"2,348",869,47,70,0,0,1,0,0,0
1997,,"20,316","11,710","4,189",210,852,"2,293",932,62,68,0,0,0,0,0,0
1996,,"19,765","11,411","4,087",164,861,"2,343",815,39,45,0,0,0,0,0,0
1995,,"19,396","11,084","3,934",109,919,"2,363",872,69,46,0,0,0,0,0,0
1994,,"18,299","10,646","3,652",95,748,"2,340",724,71,23,0,0,0,0,0,0
1993,,"17,631","10,360","3,440",112,661,"2,297",667,60,34,0,0,0,0,0,0
1992,,"16,134","9,738","3,064",64,493,"2,170",535,48,22,0,0,0,0,0,0
1991,,"15,756","9,678","2,953",78,452,"2,127",405,51,12,0,0,0,0,0,0
1990,,"15,001","9,416","2,690",69,459,"2,107",203,52,5,0,0,0,0,0,0
1989,,"13,140","8,656","2,202",82,335,"1,705",93,67,0,0,0,0,0,0,0
1988,,"12,623","8,878","1,713",78,171,"1,676",33,74,0,0,0,0,0,0,0
