,,All Center States,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,District of Columbia,Florida,Georgia,Hawaii,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,South Carolina,Tennessee,Texas,Utah,Virginia,Washington,West Virginia,Wisconsin
All Multiple Organ,,"1,436",13,41,6,166,27,8,25,113,49,1,70,24,3,10,12,9,29,74,40,29,2,35,14,3,136,52,74,8,6,35,3,19,32,160,39,26,24,1,18
Liver-Pancreas,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kidney-Intestine,,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Intestine-Pancreas,,6,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liver-Intestine,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCA-Kidney,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liver-Intestine-Pancreas,,37,0,0,0,2,0,0,5,9,0,0,0,2,0,0,0,0,0,0,2,0,0,0,6,0,4,2,2,0,0,3,0,0,0,0,0,0,0,0,0
Liver-Kidney-Intestine-Pancreas,,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Kidney-Heart,,361,1,9,0,45,7,5,1,21,18,0,12,6,1,3,3,1,12,28,4,6,0,12,1,3,40,20,12,1,0,9,0,3,18,34,5,10,7,1,2
Liver-Heart,,92,0,1,0,11,1,0,0,8,2,0,5,0,0,1,0,0,8,2,0,2,0,3,1,0,11,5,6,0,0,7,0,1,2,11,1,0,3,0,0
Liver-Kidney-Heart,,9,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney-Lung,,16,0,0,0,1,1,0,0,1,0,0,7,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Liver-Lung,,39,0,0,0,4,0,0,0,7,0,0,4,0,0,0,0,0,1,1,1,0,0,0,0,0,8,1,4,0,0,0,0,0,2,5,0,0,1,0,0
Liver-Kidney,,864,12,30,6,102,18,3,16,65,29,1,38,12,2,6,8,8,8,42,33,20,2,20,6,0,64,24,47,7,6,16,3,15,9,108,33,16,13,0,16
Kidney-Heart-Lung,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
