,,All Donation Service Areas,ALOB-OP1 Legacy of Hope,AROR-OP1 Southern Legacy of Life,AZOB-OP1 Donor Network of Arizona,CADN-OP1 Donor Network West,CAGS-OP1 Sierra Donor Services,CAOP-OP1 OneLegacy,CASD-IO1 Lifesharing - A Donate Life Organization,CORS-OP1 Donor Alliance,FLFH-IO1 OurLegacy,FLMP-OP1 South Florida Donor Network,FLUF-IO1 LifeQuest Organ Recovery Services,FLWC-OP1 LifeLink of Florida,GALL-OP1 LifeLink of Georgia,HIOP-OP1 Legacy of Life Hawaii,IAOP-OP1 Iowa Donor Network,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,INOP-OP1 Indiana Donor Network,KYDA-OP1 Network for Hope,LAOP-OP1 Louisiana Organ Procurement Agency,MAOB-OP1 New England Organ Bank,MDPC-OP1 Infinite Legacy,MIOP-OP1 Gift of Life Michigan,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,MOMA-OP1 Mid-America Transplant Services,MSOP-OP1 Mississippi Organ Recovery Agency,MWOB-OP1 Midwest Transplant Network,NCCM-IO1 LifeShare Carolinas,NCNC-OP1 HonorBridge,NEOR-OP1 Live On Nebraska,NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,NYFL-IO1 Finger Lakes Donor Recovery Network,NYRT-OP1 LiveOnNY,OHLB-OP1 Lifebanc,OHLP-OP1 Lifeline of Ohio,OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,ORUO-IO1 Cascade Life Alliance,PADV-OP1 Gift of Life Donor Program,PATF-OP1 Center for Organ Recovery and Education,PRLL-OP1 LifeLink of Puerto Rico,SCOP-OP1 We Are Sharing Hope SC,TNDS-OP1 Tennessee Donor Services,TXGC-OP1 LifeGift Organ Donation Center,TXSA-OP1 Texas Organ Sharing Alliance,TXSB-OP1 Southwest Transplant Alliance,UTOP-OP1 DonorConnect,VATB-OP1 LifeNet Health,WALC-OP1 LifeCenter Northwest,"WIDN-OP1 Versiti Blood Health, Inc.",WIUW-IO1 UW Health Organ and Tissue Donation
All Multiple Organ,,"1,436",13,6,41,49,8,85,24,27,6,41,47,19,49,1,3,70,24,26,9,82,58,40,29,30,2,15,16,36,14,3,3,133,56,4,8,6,20,16,3,19,32,88,18,54,39,22,24,6,12
Liver-Pancreas,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kidney-Intestine,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestine-Pancreas,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liver-Intestine,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCA-Kidney,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liver-Intestine-Pancreas,,37,0,0,0,1,0,1,0,0,0,9,0,0,0,0,0,0,2,1,0,0,5,2,0,0,0,0,0,2,6,0,0,4,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Liver-Kidney-Intestine-Pancreas,,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney-Heart,,361,1,0,9,13,0,21,11,7,0,10,5,6,18,0,1,12,6,3,1,33,17,4,6,8,0,7,8,12,1,3,1,39,10,2,1,0,4,6,0,3,18,18,5,11,5,6,7,2,0
Liver-Heart,,92,0,0,1,3,0,8,0,1,2,0,4,2,2,0,0,5,0,1,0,2,8,0,2,3,0,1,1,4,1,0,0,11,5,0,0,0,2,5,0,1,2,7,0,4,1,0,3,0,0
Liver-Kidney-Heart,,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney-Lung,,16,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,7,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Liver-Lung,,39,0,0,0,1,0,0,3,0,0,0,6,1,0,0,0,4,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,8,4,0,0,0,0,0,0,0,2,5,0,0,0,0,1,0,0
Liver-Kidney,,864,12,6,30,31,8,54,9,18,4,21,30,10,29,1,2,38,12,19,8,45,24,33,20,19,2,7,7,17,6,0,2,62,34,2,7,6,14,2,3,15,9,56,13,39,33,16,13,4,12
Kidney-Heart-Lung,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
