,,All Donor Types,Deceased Donor
All Centers,,"1,436","1,436"
ALUA-TX1 University of Alabama Hospital,,13,13
ARUA-TX1 UAMS Medical Center,,6,6
AZGS-TX1 Banner-University Medical Center Phoenix,,5,5
AZMC-TX1 Mayo Clinic Hospital Arizona,,36,36
CACL-TX1 Children's Hospital Los Angeles,,3,3
CACS-TX1 Cedars-Sinai Medical Center,,30,30
CALL-TX1 Loma Linda University Medical Center,,10,10
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,,3,3
CAPM-TX1 California Pacific Medical Center-Van Ness Campus,,14,14
CASD-TX1 University of California San Diego Medical Center,,22,22
CASF-TX1 University of California San Francisco Medical Center,,25,25
CASH-TX1 Sharp Memorial Hospital,,2,2
CASM-TX1 University of California Davis Medical Center,,8,8
CASU-TX1 Stanford Health Care,,7,7
CAUC-TX1 University of California at Los Angeles Medical Center,,26,26
CAUH-TX1 Keck Hospital of USC,,16,16
COCH-TX1 Children's Hospital Colorado,,1,1
COPM-TX1 AdventHealth Porter,,8,8
COUC-TX1 University of Colorado Hospital/Health Science Center,,18,18
CTHH-TX1 Hartford Hospital,,3,3
CTYN-TX1 Yale New Haven Hospital,,5,5
DCGU-TX1 Medstar Georgetown Transplant Institute,,19,19
DCGW-TX1 George Washington University Hospital,,5,5
DCWH-TX1 Washington Hospital Center,,1,1
FLCC-TX1 Cleveland Clinic Florida Weston,,13,13
FLFH-TX1 AdventHealth Orlando,,6,6
FLJM-TX1 Jackson Memorial Hospital University of Miami School of Medicine,,22,22
FLLM-TX1 Largo Medical Center,,2,2
FLMR-TX1 Memorial Regional Hospital,,6,6
FLSL-TX1 Mayo Clinic Hospital Florida,,15,15
FLTG-TX1 Tampa General Hospital,,17,17
FLUF-TX1 UF Health Shands Hospital,,32,32
GAEH-TX1 Children’s Healthcare of Atlanta - Arthur M. Blank Hospital,,1,1
GAEM-TX1 Emory University Hospital,,19,19
GAPH-TX1 Piedmont Hospital,,29,29
HIQM-TX1 The Queen's Medical Center,,1,1
IAIV-TX1 University of Iowa Hospitals and Clinics Transplant Programs,,3,3
ILCH-TX1 Advocate Christ Medical Center,,2,2
ILCM-TX1 Ann & Robert H. Lurie Children's Hospital of Chicago,,3,3
ILLU-TX1 Loyola University Medical Center,,11,11
ILNM-TX1 Northwestern Memorial Hospital,,28,28
ILPL-TX1 Rush University Medical Center,,3,3
ILUC-TX1 University of Chicago Medical Center,,22,22
ILUI-TX1 University of Illinois Medical Center,,1,1
INIM-TX1 Indiana University Health,,19,19
INSV-TX1 Ascension St. Vincent Hospital,,5,5
KSUK-TX1 University of Kansas Hospital,,10,10
KYJH-TX1 Jewish Hospital,,1,1
KYUK-TX1 University of Kentucky Medical Center,,11,11
LAOF-TX1 Ochsner Foundation Hospital,,6,6
LATU-TX1 Tulane Medical Center,,1,1
LAWK-TX1 Willis-Knighton Medical Center,,2,2
MABI-TX1 Beth Israel Deaconess Medical Center,,13,13
MALC-TX1 Lahey Clinic Medical Center,,9,9
MAMG-TX1 Massachusetts General Hospital,,29,29
MANM-TX1 Tufts Medical Center,,14,14
MAPB-TX1 Brigham and Women's Hospital,,6,6
MAUM-TX1 UMass Memorial Medical Center,,3,3
MDJH-TX1 Johns Hopkins Hospital,,20,20
MDUM-TX1 University of Maryland Medical System,,9,9
MIBH-TX1 Corewell Health William Beaumont University Hospital,,8,8
MICH-TX1 Children's Hospital of Michigan,,1,1
MIHF-TX1 Henry Ford Hospital,,21,21
MIUM-TX1 University of Michigan Medical Center,,10,10
MNMC-TX1 Mayo Clinic Hospital Minnesota,,15,15
"MNUM-TX1 University of Minnesota Medical Center, Fairview",,14,14
MOBH-TX1 Barnes-Jewish Hospital,,22,22
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,,3,3
MOCM-TX1 Children's Mercy Hospital,,1,1
MOLH-TX1 St Luke's Hospital of Kansas City,,4,4
MOSL-TX1 SSM Health Saint Louis University Hospital,,5,5
MSUM-TX1 University of Mississippi Medical Center,,2,2
NCCM-TX1 Carolinas Medical Center,,16,16
NCDU-TX1 Duke University Hospital,,28,28
NCMH-TX1 University of North Carolina Hospitals,,8,8
NEUN-TX1 The Nebraska Medical Center,,14,14
NJBI-TX1 Newark Beth Israel Medical Center,,2,2
NJRW-TX1 Robert Wood Johnson University Hospital,,1,1
NYCP-TX1 NY Presbyterian Hospital/Columbia Univ. Medical Center,,24,24
"NYFL-TX1 Strong Memorial Hospital, University of Rochester Medical Center",,3,3
NYMA-TX1 Montefiore Medical Center,,11,11
NYMS-TX1 Mount Sinai Medical Center,,49,49
NYNS-TX1 North Shore University Hospital/Northwell Health,,12,12
NYNY-TX1 New York-Presbyterian Hospital/Weill Cornell Medical Center,,4,4
NYUC-TX1 NYU Langone Health,,23,23
NYWC-TX1 Westchester Medical Center,,10,10
OHCC-TX1 The Cleveland Clinic Foundation,,47,47
OHCM-TX1 Children's Hospital Medical Center,,5,5
OHOU-TX1 Ohio State University Medical Center,,4,4
OHUC-TX1 University of Cincinnati  Medical Center,,9,9
OHUH-TX1 University Hospitals of Cleveland,,9,9
OKBC-TX1 Integris Baptist Medical Center,,5,5
OKMD-TX1 OU Medical Center,,3,3
ORUO-TX1 Oregon Health and Science University,,6,6
PAAE-TX1 Albert Einstein Medical Center,,1,1
PAAG-TX1 Allegheny General Hospital,,2,2
PACH-TX1 UPMC Children's Hospital of Pittsburgh,,2,2
PACP-TX1 Children's Hospital of Philadelphia,,1,1
PAGM-TX1 Geisinger Medical Center,,1,1
PALV-TX1 Lehigh Valley Hospital,,3,3
PAPT-TX1 University of Pittsburgh Medical Center,,11,11
PATJ-TX1 Thomas Jefferson University Hospital,,3,3
PAUP-TX1 Hospital of the University of Pennsylvania,,11,11
PRSJ-TX1 Auxilio Mutuo Hospital,,3,3
SCMU-TX1 Medical University of South Carolina,,19,19
TNST-TX1 Saint Thomas Hospital,,2,2
TNVU-TX1 Vanderbilt University Medical Center,,30,30
TXAS-TX1 Baylor  Scott and White All Saints Medical Center-Fort Worth,,4,4
"TXBC-TX1 University Hospital, University of Texas Health Science Center",,8,8
TXCM-TX1 Children's Medical Center of Dallas,,1,1
TXHD-TX1 Medical City Dallas Hospital,,5,5
TXHI-TX1 CHI St. Luke's Health Baylor College of Medicine Medical Center,,14,14
TXHS-TX1 Methodist Specialty and Transplant Hospital,,10,10
TXMC-TX1 Methodist Dallas Medical Center,,9,9
TXMH-TX1 Houston Methodist Hospital,,62,62
TXSP-TX1 UT Southwestern Medical Center/William P. Clements Jr. University Hospital,,32,32
TXSW-TX1 Scott and White Memorial Hospital,,3,3
TXTC-TX1 Texas Children's Hospital,,4,4
TXTX-TX1 Baylor University Medical Center,,4,4
TXVA-TX1 Michael E. DeBakey VA Medical Center,,4,4
UTLD-TX1 Intermountain Medical Center,,28,28
UTMC-TX1 University of Utah Medical Center,,11,11
VAFH-TX1 Inova Fairfax Hospital,,4,4
"VAMC-TX1 VCU Health System Authority, VCUMC",,15,15
VANG-TX1 Sentara Norfolk General Hospital,,1,1
VAUV-TX1 University of Virginia Health Sciences Center,,6,6
WASH-TX1 Providence Sacred Heart Medical Center & Children's Hospital,,1,1
WASM-TX1 Swedish Medical Center,,10,10
WAUW-TX1 University of Washington Medical Center,,13,13
WISE-TX1 Froedtert Memorial Lutheran Hospital,,5,5
WISL-TX1 Aurora St. Luke's Medical Center,,1,1
WIUW-TX1 University of Wisconsin Hospital and Clinics,,12,12
WVWU-TX1 West Virginia University Hospitals Inc.,,1,1
