,,All Recipient Ages,< 1 Year,1-5 Years,6-10 Years,11-17 Years,18-34 Years,35-49 Years,50-64 Years,65 +
All Multiple Organ,,"1,436",2,9,14,22,99,290,678,322
Liver-Pancreas,,1,0,0,0,1,0,0,0,0
Kidney-Intestine,,3,0,0,0,0,1,1,1,0
Intestine-Pancreas,,6,0,0,1,0,2,2,0,1
Liver-Intestine,,1,0,0,0,0,0,1,0,0
VCA-Kidney,,1,0,0,0,0,0,1,0,0
Liver-Intestine-Pancreas,,37,2,3,7,3,5,9,8,0
Liver-Kidney-Intestine-Pancreas,,5,0,1,0,1,3,0,0,0
Kidney-Heart,,361,0,0,1,5,22,50,202,81
Liver-Heart,,92,0,0,0,5,20,36,24,7
Liver-Kidney-Heart,,9,0,0,0,0,1,4,3,1
Kidney-Lung,,16,0,0,0,0,0,4,6,6
Liver-Lung,,39,0,0,0,1,4,7,19,8
Liver-Kidney,,864,0,5,5,6,41,174,415,218
Kidney-Heart-Lung,,1,0,0,0,0,0,1,0,0
