,,All Recipient States of Residence,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,State unassigned,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
All Multiple Organ,,"1,436",18,25,10,163,32,8,1,4,100,56,4,12,72,30,9,12,22,16,7,35,54,47,19,6,27,2,4,15,5,31,7,109,37,47,11,9,36,3,6,30,2,11,28,144,21,3,37,23,9,15,2
Liver-Pancreas,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kidney-Intestine,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Intestine-Pancreas,,6,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Liver-Intestine,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
VCA-Kidney,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liver-Intestine-Pancreas,,37,1,0,0,1,3,0,0,0,7,0,1,0,0,1,1,0,1,1,0,2,0,1,0,0,1,0,0,1,0,1,0,3,0,2,0,1,3,0,0,1,0,1,1,1,0,0,1,0,0,0,0
Liver-Kidney-Intestine-Pancreas,,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney-Heart,,361,3,9,3,42,6,4,1,1,19,20,2,1,12,7,1,5,4,4,3,14,21,5,3,1,10,0,1,2,2,15,0,29,16,9,1,0,7,0,3,7,0,5,13,29,3,0,7,6,1,2,2
Liver-Heart,,92,0,3,0,7,1,0,0,1,8,3,0,0,6,0,0,1,1,1,0,4,2,3,2,0,2,1,0,0,0,5,0,6,3,1,1,1,7,0,0,2,1,3,2,9,1,0,1,2,1,0,0
Liver-Kidney-Heart,,9,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney-Lung,,16,0,0,0,1,0,0,0,0,0,1,0,0,7,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Liver-Lung,,39,0,0,0,3,0,0,0,0,5,1,0,0,3,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,6,1,2,1,0,2,0,0,0,0,0,1,4,0,0,2,2,0,0,0
Liver-Kidney,,864,14,12,6,108,22,4,0,1,59,31,1,11,42,18,7,5,14,10,4,13,29,37,13,4,14,1,3,11,3,9,7,57,17,32,8,7,16,3,2,20,1,2,10,98,17,3,25,13,7,13,0
Kidney-Heart-Lung,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
