,,All Zones,"0 to 150 Nautical Miles, ALL organs","151 to 200 Nautical Miles, ALL organs","201 to 250 Nautical Miles, ALL organs","251 to 500 Nautical Miles, ALL organs","500+ Nautical Miles, ALL organs"
All Organs,,"49,065","26,301","4,685","4,126","7,044","6,909"
Kidney,,"27,574","16,762","3,074","2,627","1,483","3,628"
Liver,,"12,344","7,172",896,833,"2,777",666
Pancreas,,107,44,7,15,21,20
Kidney / Pancreas,,804,448,119,91,70,76
Heart,,"4,587","1,163",420,368,"1,877",759
Lung,,"3,490",666,162,177,763,"1,722"
Heart / Lung,,61,17,4,5,25,10
Intestine,,88,19,3,10,28,28
VCA - other genitourinary organ,,1,1,0,0,0,0
VCA - uterus,,9,9,0,0,0,0
